NAME,pickup_0,pickup_1,pickup_2,pickup_3,pickup_4,pickup_5,pickup_6,pickup_7,pickup_8,pickup_9,pickup_10,pickup_11,pickup_12,pickup_13,pickup_14,pickup_15,pickup_16,pickup_17,pickup_18,pickup_19,pickup_20,pickup_21,pickup_22,pickup_23
南澳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大鹏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
葵涌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石井,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
龙田,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坪地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坑梓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
龙岗,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
东湖,1,2,1,1,1,0,0,4,7,4,2,5,2,1,3,5,0,2,1,1,1,0,1,1
宝龙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
龙城,1,1,0,1,0,0,0,2,3,0,0,2,1,0,1,1,0,0,0,0,2,1,1,0
坪山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
马峦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沙头角,7,1,3,0,0,0,0,1,1,0,0,2,1,0,1,0,3,1,0,1,0,2,1,4
香蜜湖,12,11,9,7,7,6,7,6,12,7,14,12,17,14,16,10,14,11,11,13,16,20,10,18
观澜,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
南湾,7,5,8,1,3,2,3,10,3,2,5,5,6,5,3,1,2,5,7,6,4,13,6,7
海山,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,1,0,0,0,1,0
南湖,19,9,19,14,18,21,17,13,18,17,10,13,13,18,18,12,12,18,13,20,19,12,21,22
黄贝,11,9,6,3,2,3,7,2,9,6,13,5,11,8,6,16,7,7,6,9,6,9,16,14
梅沙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
东晓,2,4,4,0,2,2,3,0,2,8,9,3,1,2,3,6,3,5,5,5,5,9,8,6
吉华,3,1,7,1,4,6,3,2,3,0,2,4,6,1,2,0,3,1,2,1,1,5,7,6
观湖,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0
龙华,6,5,4,7,6,3,1,1,2,5,2,1,3,4,6,2,2,0,4,6,2,5,6,7
福城,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
新湖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
光明,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
马田,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
燕罗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松岗,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
莲塘,3,1,2,1,0,0,0,3,4,3,6,2,6,6,5,4,4,4,9,8,7,4,6,4
福田,75,59,34,38,41,23,21,34,26,32,28,28,64,45,42,42,40,41,49,53,56,57,57,65
新桥,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
航城,10,9,10,6,9,3,0,1,0,1,2,4,11,3,3,5,4,8,5,6,3,6,6,6
福永,3,4,3,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0
玉塘,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
大浪,3,1,2,2,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,2,0,2,3,2
凤凰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石岩,4,0,0,0,0,0,0,0,0,0,1,2,2,4,2,3,2,0,0,1,0,0,0,2
西丽,9,4,8,2,3,5,1,4,6,3,7,4,10,6,5,8,7,6,4,1,8,7,7,10
新安,11,19,17,13,7,8,4,7,12,6,15,7,24,21,13,14,14,9,11,8,25,11,6,10
坂田,3,6,3,1,1,2,1,2,4,2,6,2,4,6,1,2,5,2,7,0,2,0,7,8
民治,15,11,9,8,6,2,5,7,14,9,16,14,6,14,14,8,14,9,17,10,13,17,17,20
沙头,31,19,33,19,17,23,13,15,28,30,19,28,24,52,16,21,34,22,26,34,26,25,21,23
粤海,12,10,9,3,6,3,1,4,4,7,9,10,15,16,24,15,14,13,8,9,16,22,22,15
西乡,17,15,17,8,7,6,14,10,27,13,13,10,12,17,21,8,8,12,18,17,12,11,4,5
南头,7,9,5,6,5,4,9,6,11,12,15,15,10,10,12,26,20,10,13,6,5,5,11,3
招商,3,1,1,6,5,2,4,1,4,13,10,14,10,13,9,16,8,3,5,4,3,6,7,4
蛇口,1,0,0,0,0,1,0,0,0,5,5,4,2,4,2,3,0,1,0,0,1,2,0,2
桂园,28,12,20,16,13,11,11,5,14,11,11,16,15,16,13,16,10,14,12,19,29,15,25,18
南山,10,10,9,12,8,8,1,2,5,20,18,8,7,6,12,9,6,7,4,5,4,13,16,17
清水河,8,7,3,7,4,3,4,6,8,8,6,6,10,9,5,9,2,7,5,11,5,5,5,8
莲花,8,3,4,5,2,2,3,9,14,18,23,31,25,23,23,17,18,16,15,22,14,20,15,15
梅林,14,8,6,4,0,1,1,13,16,8,21,29,17,10,18,16,13,5,12,11,13,7,8,10
华富,11,9,5,0,6,2,4,2,5,8,6,7,12,7,6,9,14,9,6,11,10,8,10,13
南园,2,1,2,4,0,1,2,4,1,2,1,2,1,2,3,3,2,2,1,1,3,3,4,1
华强北,28,9,9,15,10,6,6,2,5,7,7,15,13,13,5,11,9,8,16,12,17,27,26,12
园岭,12,13,9,8,3,8,7,2,7,5,10,12,8,12,10,15,11,6,9,6,11,13,7,9
布吉,15,20,16,8,12,7,7,17,9,10,9,6,26,10,7,9,5,16,11,2,10,5,14,27
翠竹,6,4,7,2,6,2,2,7,15,10,14,5,11,10,8,4,6,12,6,11,7,12,11,8
平湖,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,2,0,2,0,0
横岗,3,0,1,2,1,0,1,1,1,0,0,0,2,0,0,0,1,1,1,1,2,4,2,2
东门,26,30,27,24,21,12,12,8,12,13,16,5,17,16,13,11,15,20,10,37,27,18,34,26
沙井,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福海,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
福保,12,2,2,1,2,2,1,6,10,4,5,4,12,8,6,4,6,7,8,5,5,6,3,9
沙河,14,9,7,1,0,2,7,10,10,9,10,12,11,20,16,14,26,13,6,7,12,17,17,7
桃源,4,0,2,3,1,1,1,0,5,7,5,7,6,2,7,7,4,2,5,1,5,7,3,2
盐田,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
笋岗,3,9,8,9,1,3,4,10,4,12,9,8,10,13,6,6,15,15,5,9,7,9,8,5
碧岭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
园山,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1
